rank,session_id,player_name,floor_reached,kills,max_combo,duration_sec
1,test_winner,SpeedRunner,20,100,8,180.0
2,c8afd681,dhbu,20,162,10,260.7
3,66f882e5,io,20,162,10,272.7
4,058f807a,058f807a,20,167,10,276.0
5,9a29bec6,tyui,20,164,10,301.5
6,2558be52,2558be52,20,163,10,305.6
7,a72fb4b9,a72fb4b9,20,166,10,314.1
8,a011b1d6,a011b1d6,20,164,10,323.4
9,7e5f9d04,7e5f9d04,20,163,10,354.2
10,7a152a32,wih,20,180,10,372.4
11,4397071c,dojed,20,166,10,405.7
12,005ae58d,jkl,20,160,10,467.9
13,945d3c26,945d3c26,20,166,10,2118.6
14,8e1451e3,ghujkl;,19,157,10,263.1
15,3cd4f326,67,19,155,10,268.7
16,7bb45430,eufj,19,160,10,489.1
17,4f27deed,ijp\\,18,150,10,474.6
18,fbf0d25e,jjd,18,149,10,513.7
19,a12b277d,jk,17,130,10,225.4
20,93c7b514,6,17,126,10,233.5
21,05186971,oihj\,17,139,10,339.6
22,6da7ec14,eihrkbfjlnkj,16,122,10,239.5
23,126e558e,yuio,16,121,10,255.4
24,32429674,yui,16,119,10,387.4
25,15e7e4c2,asdknjwnl],14,111,10,187.4
26,f7a07145,iwjd,14,109,10,237.6
27,d7623589,uoiuo,14,114,10,243.3
28,2e7998bd,ijie,13,90,10,203.7
29,614fcdf4,whidh,13,101,10,1264.8
30,8b5fca3b,676767,12,84,10,164.3
31,66201353,wiljad',12,90,10,183.1
32,a78940a0,aowj,12,85,10,956.9
33,90fb2456,rkgfd,11,67,10,149.8
34,b9f7ace9,nfnfn,10,65,9,156.7
35,652bdfbd,wknhdn,10,65,10,220.1
36,1e597e07,ohm gay,10,70,10,238.5
37,8d6fe6d5,kendkcnf,9,61,8,126.2
38,f8820c13,knnc,9,63,10,142.2
39,5a0949a9,pun gay,9,54,9,161.8
40,ed29e80a,gyhuio,8,42,8,90.6
41,d2b98ec1,jdwowj,8,50,9,96.4
42,dabb63e5,awjd,8,59,10,105.0
43,b7854c33,gsgerf,8,49,10,118.5
44,e959cfc2,jd,8,43,9,165.6
45,29b87efe,ifejf,7,35,7,76.8
46,85d001cd,awdkia,7,37,8,88.8
47,0e7233d8,wjkla,7,38,8,97.7
48,955df4cd,sjwd,7,36,8,97.7
49,2a376ff6,ertyuio,7,34,7,102.5
50,85162229,kuy,7,38,6,107.2
51,128495a6,woijojq],7,43,7,112.6
52,3fe8646d,hjkl,7,38,9,123.8
53,5e4eed17,90900,7,35,9,209.9
54,0619ebae,owdjowoj,7,32,6,247.7
55,1b3d4b87,kdwkj,7,34,8,764.8
56,08e66540,bnmkl,6,26,5,60.0
57,500dbfb6,jkkp,6,30,6,62.7
58,cd01b60a,jefjspejf,6,24,5,63.9
59,cbcd2249,ertyuji,6,24,7,65.1
60,473b8c24,aniw,6,23,6,66.9
61,1d612135,jkl;,6,24,8,70.1
62,a222f0b7,ohm is gay,6,22,5,75.0
63,88663132,jendn,6,32,7,80.7
64,628861c1,idwdw4,6,26,6,83.0
65,831c13df,gjhkl;',6,38,8,83.8
66,1ba32abb,fkr,6,29,8,91.1
67,6f418003,ihih],6,26,8,157.9
68,cf78812f,tuy,6,32,8,175.3
69,3a409b26,67,6,23,8,275.6
70,ed60f714,utyiop[p,6,26,7,1007.2
71,8f8c8dd6,jkl;,4,22,6,42.5
72,dc092ca2,julkm;l,4,20,7,46.5
73,e5a94c8f,wddaw,4,16,4,48.1
74,90d4216e,wdjahbdk,4,17,6,48.2
75,2ab0bf05,676766978,4,15,6,49.5
76,bdf3987b,tal168,4,21,6,50.8
77,ec06570d,jkl,4,19,6,51.2
78,804ca32e,jjdiwjwd,4,19,6,65.5
79,1e8ad84d,5rfuyg,4,25,6,70.8
80,293134e7,ebebJJ,3,11,7,25.7
81,b6cc2a9d,hjkl;,3,14,5,26.4
82,bb525aea,wertyuio,3,13,7,27.2
83,45c2a0e3,wopdj,3,9,4,27.2
84,5703e52d,hefui,3,10,4,29.7
85,80480b38,a,3,13,5,31.2
86,27ce40db,oij,3,12,5,32.2
87,8f0deb40,iohpfj['w,3,12,4,34.5
88,96c4ae2e,awmadnwa,3,14,5,37.7
89,712c9d72,hjk,3,9,4,38.1
90,7e26e3c0,wdlihpwa,3,10,3,40.4
91,639fda10,efkhjsbla;',3,15,5,263.7
92,1096cb0b,sf,2,3,2,11.4
93,fb283c0f,nei,2,5,3,12.0
94,e1767ddf,jndoa,2,5,3,12.7
95,772c715d,awjklw;',2,3,2,13.0
96,8c22bdd2,ourhwijpokpdl,2,3,3,13.3
97,c803a545,kw,2,5,3,16.9
98,fcd0414f,hjk,2,9,6,18.6
99,1920914d,hjk,2,5,2,24.8
100,bc2aeae9,kfrsuoahiwp[,1,0,0,3.7
101,213be9af,uib],1,4,4,12.5
102,a6a76ddc,ikjoef,1,1,1,23.0
103,f2b330f4,ugyio,1,0,0,161.3
